                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5987,                 3.4623,                 3.1335,                0.39959,                0.31866,                0.26364,                0.09709,                 2.3195,                 2.6812,                  2.505,             0.00066614,             0.00066614,             0.00066614
                      2,                 2.0437,                 2.0311,                 2.2958,                0.55905,                0.46407,                0.51349,                0.23891,                  1.894,                 1.9822,                 2.1334,              0.0012009,              0.0012009,              0.0012009
                      3,                 1.9027,                 1.7432,                 2.1312,                0.70566,                0.52089,                0.60726,                0.30738,                 1.7904,                 1.6374,                 2.0003,              0.0016036,              0.0016036,              0.0016036
                      4,                 1.8037,                 1.5376,                 2.0291,                0.79763,                0.70418,                0.78529,                0.43464,                 1.5961,                 1.2232,                  1.814,               0.001406,               0.001406,               0.001406
                      5,                 1.7246,                 1.3923,                 1.9364,                0.80277,                0.71476,                0.79143,                0.44902,                 1.5746,                 1.1616,                 1.7569,               0.001208,               0.001208,               0.001208
                      6,                 1.6638,                 1.2736,                 1.8764,                0.84243,                0.78106,                0.83727,                0.48852,                 1.5167,                 1.0623,                 1.7189,                0.00101,                0.00101,                0.00101
                      7,                  1.606,                 1.1728,                 1.8246,                0.83742,                0.80635,                 0.8656,                0.51429,                 1.4597,                0.96304,                 1.6865,               0.000812,               0.000812,               0.000812
                      8,                 1.5655,                 1.0923,                 1.7873,                0.87109,                0.81689,                0.88626,                0.53647,                 1.4362,                 0.8784,                 1.6452,               0.000614,               0.000614,               0.000614
                      9,                 1.5134,                 1.0238,                 1.7319,                0.85957,                0.84567,                0.88863,                0.54924,                 1.3868,                0.84238,                 1.5909,               0.000416,               0.000416,               0.000416
                     10,                 1.4662,                0.97049,                 1.6933,                0.88327,                 0.8585,                0.90323,                0.57336,                 1.3401,                0.80844,                 1.5685,               0.000218,               0.000218,               0.000218
